,texture,watermark,variance,skewness,kurtosis,entropy,target
0,"[115.97624416329111, 0.9753307984420815, 0.08262841524716918, 0.6356221433398308, 0.11111111111109559]","[0.01407574 0.02006681 0.0111209  0.02390221 0.02784405 0.03544253
 0.01726808 0.01847549 0.8318042 ]",2363.240926726079,-1.6083568979199623,1.591661693652898,6.805562195588188,0.0
0,"[50.73939376891081, 0.9889353213124039, 0.06671516889493345, 0.5942541437701114, 0.11111111111109667]","[0.01081695 0.01665729 0.01173078 0.03005894 0.03953725 0.04386707
 0.02067204 0.01694547 0.80971422]",2331.1590618626337,-1.5397486770120143,1.512447212163285,6.951139520151003,0.0
0,"[6.492976698304716, 0.9964262626298724, 0.06089621816067525, 0.5848896019344203, 0.11111111111109553]","[0.00801955 0.01847756 0.00867407 0.0364666  0.05327561 0.06814166
 0.02819992 0.02069037 0.75805464]",1144.4481868174037,-1.98579965951257,4.508427170167344,6.597480334601775,0.0
0,"[350.57630181676495, 0.9267055008180269, 0.042583124180328925, 0.4062377160997667, 0.11111111111110178]","[0.02852204 0.03261236 0.01885558 0.02926556 0.03313523 0.03460833
 0.02317935 0.02529602 0.77452553]",2393.5838984063917,-1.161240670360684,0.7316734744603726,7.26701250572649,0.0
0,"[78.3068009524606, 0.9876303345490633, 0.050042195350480316, 0.4813205589621415, 0.11111111111110121]","[0.02175609 0.03071586 0.01975407 0.03339172 0.03643135 0.04195645
 0.02762157 0.02925552 0.75911738]",3322.1481325310824,-1.1092561825688834,0.04525735609790482,7.322556903080978,0.0
0,"[179.54696633860283, 0.9633625604406253, 0.04453988164627115, 0.45190333027574303, 0.11111111111109906]","[0.02855281 0.03406764 0.02045321 0.04351816 0.05385439 0.06129782
 0.03151139 0.02831299 0.69843159]",2524.460343381674,-0.8324651372531716,-0.05880586667987986,7.454441377997477,0.0
0,"[239.88886952723487, 0.954389159365876, 0.032918733059497204, 0.35749212219992654, 0.11111111111110204]","[0.03270851 0.04100638 0.02536653 0.0451128  0.05369146 0.05452964
 0.03445852 0.0332147  0.67991148]",2752.3559900000523,-0.8119306331819905,-0.19536384468237822,7.497084369047168,0.0
0,"[102.93779548649971, 0.9837684702354629, 0.03469190080409121, 0.3387362767867313, 0.11111111111110304]","[0.02418094 0.03419406 0.02354858 0.04383753 0.05039609 0.05316595
 0.03398568 0.03040577 0.70628541]",3302.135951521348,-0.9960958002194618,-0.09996725007964269,7.4245558351271645,0.0
0,"[116.07160564758426, 0.9736703270130632, 0.052102440223895166, 0.39507587267073463, 0.11111111111110222]","[0.02731422 0.03676806 0.02586102 0.04645027 0.05502662 0.05242135
 0.03510175 0.03255902 0.6884977 ]",2233.902677951494,-1.1891240296035261,0.5489288224064253,7.075118343557323,0.0
0,"[73.8279892678905, 0.9874405750085578, 0.05931134591949872, 0.48418214662949327, 0.11111111111109954]","[0.02319328 0.03454927 0.02399952 0.05069423 0.06533356 0.0684607
 0.0363493  0.03259743 0.6648227 ]",2971.1191842341764,-0.8859811701291034,-0.37346089701208074,7.335613505519602,0.0
0,"[357.32061679259493, 0.9475097636797434, 0.022086454637553318, 0.19351822805699473, 0.11111111111110535]","[0.03474529 0.04060156 0.02310319 0.02803617 0.02887675 0.02909924
 0.02528764 0.03575062 0.75449954]",3550.5256180869615,-1.0448945522288764,-0.09726788493444039,7.387187045930299,0.0
0,"[28.24881996250699, 0.9949918234786257, 0.07954829052874181, 0.6685964051648678, 0.11111111111109327]","[0.01275203 0.02462981 0.01209669 0.03505131 0.04398785 0.06118534
 0.02743392 0.02694067 0.75592238]",3122.2649483365317,-1.093658489476135,0.09994932510078014,7.278933276754875,0.0
0,"[134.82389311636777, 0.9789818866924859, 0.06030157501582813, 0.4823952035791361, 0.11111111111110028]","[0.01999239 0.031835   0.01914476 0.04031951 0.04513511 0.05085292
 0.03103133 0.02764521 0.73404376]",3505.759163957063,-0.9162201125849802,-0.31293366215803387,7.4065336549594,0.0
0,"[27.58471268522465, 0.9907269932201005, 0.03887409082771956, 0.3756089608157964, 0.11111111111110189]","[0.0184     0.02900832 0.01790327 0.04123475 0.06070395 0.05911587
 0.03109852 0.02340498 0.71913035]",1778.0889274806107,-1.4311234263304937,2.006908266675154,7.014848293259865,0.0
0,"[48.52515668003616, 0.9919826997911831, 0.06136750912036965, 0.47707350983177715, 0.11111111111110113]","[0.01781102 0.03012829 0.01816789 0.03576033 0.04218806 0.04710686
 0.02848222 0.02871665 0.75163869]",3034.8088848507887,-1.2418199998904376,0.38259789769416797,7.016117108884187,0.0
0,"[39.8719833160074, 0.9937863481430084, 0.060663730589853825, 0.5257462969623542, 0.11111111111109989]","[0.01561538 0.02881288 0.01688807 0.04103599 0.04847611 0.05789129
 0.03055642 0.02809648 0.7326274 ]",3231.6042631023215,-1.1209523083455781,0.024556465830946284,7.109825198709712,0.0
0,"[24.489607936463678, 0.9967427310710193, 0.07488499718061684, 0.6202874185124504, 0.11111111111109621]","[0.01076535 0.02256747 0.01273859 0.04344823 0.05523533 0.07179482
 0.02992555 0.02571054 0.72781412]",3753.850117654598,-1.0516418714358755,-0.3210555699546047,7.044085813699195,0.0
0,"[87.96868199910516, 0.9883081791906604, 0.05989858016170079, 0.521339171108195, 0.11111111111109911]","[0.01616379 0.02702728 0.01858938 0.04807851 0.05732322 0.06759109
 0.03381554 0.02825526 0.70315594]",3848.5444901217406,-0.8589841590046933,-0.7245329505109539,7.1744360495148545,0.0
0,"[41.00073618540455, 0.9937696718058971, 0.06710307504705905, 0.568479223191448, 0.11111111111109719]","[0.01407997 0.02356185 0.01500881 0.04012979 0.05511729 0.05674154
 0.02612822 0.02253122 0.74670131]",3281.3482346609053,-1.1959047621405123,0.3238884500018502,7.263274717648191,0.0
0,"[148.44241680905782, 0.9787114389240971, 0.039332046526590864, 0.44375044777941625, 0.11111111111110047]","[0.03119459 0.04894563 0.02579175 0.05568047 0.06641604 0.07669843
 0.04151207 0.04212726 0.61163377]",3578.287635345109,-0.614314849678157,-0.6028853675205594,7.68375599734822,0.0
0,"[82.85845649004855, 0.9885154254735424, 0.056966482496863445, 0.5726925399552186, 0.11111111111109866]","[0.01911598 0.03273223 0.01833438 0.04712652 0.04793035 0.07434351
 0.03711979 0.03534688 0.68795036]",3805.165195635211,-0.9224785465846077,-0.46240997309109,7.388507839465161,0.0
0,"[27.13323404123966, 0.9943343306236259, 0.06257252374027658, 0.6240410394588328, 0.11111111111109412]","[0.01107079 0.025189   0.01188748 0.04922477 0.05876024 0.09372669
 0.0359512  0.03122047 0.68296935]",2655.55117159725,-1.011107670590861,0.30980883477812915,7.348783663737855,0.0
0,"[62.98992333780755, 0.9837089881893553, 0.056740631377743704, 0.6008557761476213, 0.11111111111109666]","[0.01701706 0.02917439 0.01424331 0.04489023 0.04643534 0.08599582
 0.03479432 0.03225881 0.69519072]",2227.3249844610214,-1.0202220637841506,0.8757381628432781,7.319001424746396,0.0
0,"[272.04771314525755, 0.9644208649565292, 0.024787827190300975, 0.27444932038985625, 0.11111111111110379]","[0.02923246 0.04065332 0.02576413 0.04694601 0.05222159 0.05482056
 0.03581814 0.03350827 0.68103551]",3951.7426942617244,-0.8256166133329708,-0.5530211762404091,7.527552699059589,0.0
0,"[70.65476373028928, 0.9843056090082225, 0.0363695030461042, 0.34056766181237985, 0.11111111111110106]","[0.02827516 0.0366199  0.02447037 0.05435759 0.08595616 0.07006032
 0.03564892 0.02566632 0.63894525]",2507.591790536661,-1.180548784069291,0.6966515079044195,7.2891444468722,0.0
